"year","date","site","transect","coral_genus","percent"
2006,2006-01-14,"Tiahura",2,"Pocillopora",16
2006,2006-01-14,"Tiahura",2,"Porites",14
2006,2006-01-14,"Tiahura",2,"other",0
2006,2006-01-14,"Tiahura",3,"Acropora",16
2006,2006-01-14,"Tiahura",3,"Astrea",0
2006,2006-01-14,"Tiahura",3,"Montipora",0
2006,2006-01-14,"Tiahura",3,"Pocillopora",20
2006,2006-01-14,"Tiahura",3,"Porites",14
2006,2006-01-14,"Tiahura",3,"other",8
2007,2007-01-30,"Tetaiuo",1,"Acropora",20
2007,2007-01-30,"Tetaiuo",1,"Astrea",2
2007,2007-01-30,"Tetaiuo",1,"Montipora",0
2007,2007-01-30,"Tetaiuo",1,"Pocillopora",14
2007,2007-01-30,"Tetaiuo",1,"Porites",8
2007,2007-01-30,"Tetaiuo",1,"other",0
2007,2007-01-30,"Tetaiuo",2,"Acropora",6
2007,2007-01-30,"Tetaiuo",2,"Astrea",2
2007,2007-01-30,"Tetaiuo",2,"Montipora",2
2007,2007-01-30,"Tetaiuo",2,"Pocillopora",22
2007,2007-01-30,"Tetaiuo",2,"Porites",6
2007,2007-01-30,"Tetaiuo",2,"other",2
2007,2007-01-30,"Tetaiuo",3,"Acropora",6
2007,2007-01-30,"Tetaiuo",3,"Astrea",0
2007,2007-01-30,"Tetaiuo",3,"Montipora",4
2007,2007-01-30,"Tetaiuo",3,"Pocillopora",16
2007,2007-01-30,"Tetaiuo",3,"Porites",14
2007,2007-01-30,"Tetaiuo",3,"other",4
2007,2007-01-31,"Entre 2 baies",1,"Acropora",14
2007,2007-01-31,"Entre 2 baies",1,"Astrea",0
2007,2007-01-31,"Entre 2 baies",1,"Montipora",0
2007,2007-01-31,"Entre 2 baies",1,"Pocillopora",14
2007,2007-01-31,"Entre 2 baies",1,"Porites",2
2007,2007-01-31,"Entre 2 baies",1,"other",20
2007,2007-01-31,"Entre 2 baies",2,"Acropora",10
2007,2007-01-31,"Entre 2 baies",2,"Astrea",0
2007,2007-01-31,"Entre 2 baies",2,"Montipora",0
2007,2007-01-31,"Entre 2 baies",2,"Pocillopora",16
2007,2007-01-31,"Entre 2 baies",2,"Porites",2
2007,2007-01-31,"Entre 2 baies",2,"other",6
2007,2007-01-31,"Entre 2 baies",3,"Acropora",6
2007,2007-01-31,"Entre 2 baies",3,"Astrea",2
2007,2007-01-31,"Entre 2 baies",3,"Montipora",4
2007,2007-01-31,"Entre 2 baies",3,"Pocillopora",20
2007,2007-01-31,"Entre 2 baies",3,"Porites",6
2007,2007-01-31,"Entre 2 baies",3,"other",6
2007,2007-01-31,"Pihaena",1,"Acropora",18
2007,2007-01-31,"Pihaena",1,"Astrea",0
2007,2007-01-31,"Pihaena",1,"Montipora",0
2007,2007-01-31,"Pihaena",1,"Pocillopora",28
2007,2007-01-31,"Pihaena",1,"Porites",0
2007,2007-01-31,"Pihaena",1,"other",6
2007,2007-01-31,"Pihaena",2,"Acropora",34
